 ; * 
 ; ; * 
 ; ; ; * 
 ; ; ; ; * 
 ; ; ; ; ; * 
 ; ; ; ; ; ; * 
 ; ; ; ; ; ; ; * 
 ; ; ; ; ; ; ; ; * 
 ; ; 33 ; ; ; ; ; ; 0 47 ; * 
 ; ; ; 30 ; ; ; ; ; ; 33 54 62 ; * 
 ; ; ; 63 ; 39 ; 34 ; ; ; ; ; 34 ; * 
 66 ; 102 ; 60 62 84 ; 116 ; 116 ; 60 62 84 ; 104 ; 114 ; 88 ; 102 ; 60 62 84 ; 104 ; * 
