 Token ; Simbol/Terminal
 0 ; ALGORITMA 
 1 ; PEMBUKA 
 2 ; ISI_IF 
 3 ; IF_STATEMENT 
 4 ; IF 
 5 ; ISI_ELIF 
 6 ; ELIF_STATEMENT 
 7 ; ELIF 
 8 ; ISI_ELSE 
 9 ; ELSE_STATEMENT 
 10 ; WHILE_STATEMENT 
 11 ; WHILE 
 12 ; FOR_STATEMENT 
 13 ; FOR 
 14 ; BUAT_FOR 
 15 ; UNTUK_VAR 
 16 ; RANGE 
 17 ; FOR_DIEM 
 18 ; FOR_DIEM2 
 19 ; LOOP 
 20 ; IMPORT 
 21 ; WORD 
 22 ; AS 
 23 ; FROM 
 24 ; FROM_IMPORT 
 25 ; BAGIAN_KELAS 
 26 ; CLASS 
 27 ; ARGUMEN 
 28 ; SISIPAN 
 29 ; PARAM 
 30 ; REL_EXP 
 31 ; ATH_EXP 
 32 ; LOG_EXP 
 33 ; KONDISI 
 34 ; CLOSE_EXP 
 35 ; BANYAK_KATA 
 36 ; WORD_UNDERSCORE 
 37 ; WORD_COMMA 
 38 ; TITIK_KATA 
 39 ; DIMASUKKAN 
 40 ; ARRAY 
 41 ; ARRAY_ASSIGN 
 42 ; ARRAY_ASSIGN_CLOSE 
 43 ; STRING 
 44 ; STRINGCLOSE 
 45 ; INPUT_OPEN 
 46 ; EXCEPTION_PARAM 
 47 ; PRINT_CONTENT 
 48 ; ISI_ARRAY 
 49 ; KURUNG 
 50 ; CLOSESQUARE 
 51 ; FUNGSI 
 52 ; FUNCTION_CONTENTS 
 53 ; FUNCTION_CONTENT 
 54 ; FUNCTION_PARAMETER 
 55 ; FUNC_EXP 
 56 ; ALGO_FUNGSI 
 57 ; CLOSE_FUNC_EXP 
 58 ; ISI_FUNG 
 59 ; JADI_WITH 
 60 ; LANJUTAN 
 61 ; PENUTUP 
 62 ; EXPAND 
 63 ; RELOP 
 64 ; constant 
 65 ; kata 
 66 ; JADI_IF 
 67 ; if 
 68 ; JADI_ELSE 
 69 ; else 
 70 ; JADI_ELIF 
 71 ; elif 
 72 ; JADI_FOR 
 73 ; for 
 74 ; JADI_WHILE 
 75 ; while 
 76 ; JADI_IN 
 77 ; in 
 78 ; JADI_AS 
 79 ; as 
 80 ; JADI_PETIK1 
 81 ; ' 
 82 ; JADI_FROM 
 83 ; from 
 84 ; JADI_KATA 
 85 ; kata 
 86 ; JADI_INP 
 87 ; input 
 88 ; JADI_PRINT 
 89 ; print 
 90 ; JADI_KELAS 
 91 ; class 
 92 ; JADI_BREAK 
 93 ; break 
 94 ; JADI_RET 
 95 ; return 
 96 ; JADI_TRUE 
 97 ; true 
 98 ; JADI_FALSE 
 99 ; false 
 100 ; JADI_PASS 
 101 ; pass 
 102 ; KURUNG_BUKA 
 103 ; ( 
 104 ; KURUNG_TUTUP 
 105 ; ) 
 106 ; KURSI_BUKA 
 107 ; [ 
 108 ; KURSI_TUTUP 
 109 ; ] 
 110 ; KOMA 
 111 ; , 
 112 ; TITIK 
 113 ; . 
 114 ; TITIKDUA 
 115 ; : 
 116 ; SAMADENGAN 
 117 ; = 
 118 ; LEBIHKECIL 
 119 ; < 
 120 ; LEBIHBESAR 
 121 ; > 
 122 ; JADI_ARIOP 
 123 ; + 
 124 ; - 
 125 ; * 
 126 ; / 
 127 ; % 
 128 ; JADI_LOGOP 
 129 ; and 
 130 ; or 
 131 ; JADI_RANGE 
 132 ; range 
 133 ; JADI_RAISE 
 134 ; raise 
 135 ; JADI_EXC 
 136 ; exception 
 137 ; JADI_IMPORT 
 138 ; import 
 139 ; JADI_UNDER 
 140 ; _ 
 141 ; JADI_KONS 
 142 ; constant 
 143 ; JADI_FUNG 
 144 ; def 
 145 ; JADI_RET 
 146 ; return 
 147 ; JADI_NONE 
 148 ; none 
 149 ; JADI_WITH 
 150 ; with 
 151 ; JADI_OPEN 
 152 ; open 
 153 ; JADI_IS 
 154 ; is 
